"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"1952",NA,"Vietti, Stefano","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1953",NA,"Vigna, Bepi","M","Sceneggiatura","IT","P","Kleiner Flug, Sergio Bonelli Editore, The Walt Disney Company","CIF - Centro internazionale del fumetto (Cagliari)"
"1954",NA,"Vila, Miguel","M","Autore unico","IT","GN","Canicola Edizioni",NA
"1955",NA,"Vilella, Sebastiano","M","Autore unico","IT","GN","Coconino Press, Oblomov Edizioni","Grafite - Scuola di grafica e fumetto (Taranto)"
"1956",NA,"Villa, Claudio","M","Disegni","IT","P","Sergio Bonelli Editore","Dali Arts (Vicenza)"
"1957",NA,"Villanelli, Paolo","M","Disegni","USA","P","BOOM! Studios, IDW Publishing, Marvel Comics","Scuola internazionale di Comics - Roma"
"482","Coma Empirico","Villani, Gabriele","M","Autore unico","IT","GN","BeccoGiallo",NA
"1958",NA,"Villanova, Valentino","M","Disegni, chine","IT","GN","Ave",NA
"1959",NA,"Villari, Laura","F","Colori","USA","P","Marvel Comics","SRF - Scuola Romana dei Fumetti"
"1816","Sualzo","Vincenti, Antonio","M","Autore unico","IT","GN","Bao Publishing, Editrice Il Castoro, Tunué","NID - Nuovo Istituto Design (Perugia), The Sign - Comics & Arts Academy (Firenze)"
"1960",NA,"Vincenti, Massimo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti"
"1961",NA,"Vinci, Antonio ""Tonio""","M","Autore unico","IT","GN","Hazard Edizioni, Tunué","Scuola internazionale di Comics - Pescara"
"1962",NA,"Vinci, Jean Claudio","M","Disegni, chine, colori","IT, FR, USA","P, GN","Aurea Editoriale, Dark Horse Comics, Éditions Dupuis, Editoriale Aurea, ReNoir Comics, The Walt Disney Company",NA
"1963",NA,"Vinci, Vanna","F","Autrice unica","IT","GN","Bao Publishing, Rizzoli Lizard, Solferino Libri",NA
"1964",NA,"Viola, Emmanuel","M","Disegni","IT","GN","Shockdom",NA
"1966",NA,"Viotti, Dario","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore",NA
"1967",NA,"Virzì, Emanuele","M","Disegni","IT","P","The Walt Disney Company",NA
"1968",NA,"Visintin, Fabio","M","Autore unico","IT, ES","GN","ComicOut, Spaceman Project","Scuola internazionale di Comics - Padova"
"1969",NA,"Vitaliano, Fausto","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1970",NA,"Vitiello, Tommaso","M","Autore unico, sceneggiatura","IT","GN","BeccoGiallo, Hazard Edizioni, Noise Press, Panini Comics",NA
"1971",NA,"Vitolo, Ivan","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1972",NA,"Vitrano, Erika","F","Disegni","IT","GN","Ex Libris",NA
"1973",NA,"Vitrano, Pietro","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1974",NA,"Vitti, Alessandro","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","Scuola internazionale di Comics - Reggio Emilia"
