"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"717",NA,"Ghiglione, Marco","M","Disegni","IT","P","The Walt Disney Company","",""
"355",NA,"Ghion, Marco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"652",NA,"Giacon, Massimo","M","Disegni","IT","GN","Panini Comics, Rizzoli Lizard","IED - Istituto Europeo di Disegni (Milano)",""
"1114",NA,"Giordano, Giulio","M","Disegni","IT","P, GN","Lavieri Edizioni, Sergio Bonelli Editore","",""
"48",NA,"Gottardo, Alessandro","M","Disegni","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Padova, Dali Arts (Vicenza)",""
"781",NA,"Intini, Stefano","M","Disegni","IT","P","The Walt Disney Company","",""
"1464",NA,"Iorio, Laura","F","Colori, Disegni","FR","GN","BDMusic, Dargaud","",""
"1128",NA,"Lacavalla, Maurizio","M","Autore Unico","IT","GN","BD","",""
"1460",NA,"Lanzidei, Massimiliano","M","Sceneggiatura","IT","GN","Steinkis, Tunué","",""
"694",NA,"Liotti, Giuseppe","M","Disegni","FR","GN","Éditions le Lombard, Rue de Sévres","",""
"1399",NA,"Listrani, Fabio","M","Autore Unico","IT","GN","Shockdom","",""
"658",NA,"Lo Bianco, Fabrizio","M","Sceneggiatura","FR, IT","P, GN","Arnoldo Mondadori Editore, Éditions Glenat, Éditions Soleil, Europublishing, Play Press, San Paolo Periodici, The Walt Disney Company, Tridimensional SRL, Tunué","",""
"331",NA,"Lombardo, Ivo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1088",NA,"Longo, Albhey","M","Autore Unico","IT","GN","Bao Publishing","",""
"1302",NA,"Macola, Piero","M","Autore Unico","FR, IT","GN","Actes Sud, Atrabile, Oblomov Edizioni","",""
"1109",NA,"Manera, Matteo","M","Disegni","IT","GN","BD","",""
"1308",NA,"Manupelli, Ivan","M","Autore Unico","IT","GN","Einaudi, Eris Edizioni","Scuola Mohole (Milano)",""
"773",NA,"Marconi, Massimo","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"41",NA,"Martusciello, Alessia","F","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"128",NA,"Massacci, Alex","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"525",NA,"Memo, Francesco","M","Autore Unico","IT","GN","Tunué","",""
"815",NA,"Mulazzi, Paola","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1147",NA,"Munarini, Stefano","M","Sceneggiatura","IT","GN","BD","",""
"1013",NA,"Nencioni, Alessio","M","Sceneggiatura","IT","GN","Kleiner Flug","",""
"994",NA,"Oliveira, Bruno","M","Autore Unico","IT","P","San Paolo Periodici","FumÃ© Scuola di fumetto",""
"184",NA,"Ongaro, Paolo","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"623",NA,"Pagliaro, Alberto","M","Disegni","FR, IT","GN","BD, Éditions Delcourt, Éditions Glenat, Éditions Soleil, Kleiner Flug, Les Humanoides Associes","",""
"585",NA,"Paliaga, Jacopo","M","Sceneggiatura","IT","GN","Bao Publishing, Panini Comics, Star Comics","",""
"599",NA,"Palmas, Angelo","M","Disegni, Sceneggiatura","IT","P","Astorina, The Walt Disney Company","",""
"1896",NA,"Pasini, Fabrizio","M","Disegni","FR","GN","Vents d'Ouest","",""
"810",NA,"Pastrovicchio, Alessandro","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"796",NA,"Perini, Gaya","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"60",NA,"Perniola, Mirko","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","Scuola del fumetto (Verona)",""
"1260",NA,"Pezone, Salvatore","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"375",NA,"Piccatto, Luigi","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola di fumetti di Asti",""
"1773",NA,"Pizzetti, Alberto","M","Disegni","FR, IT","P, GN","Éditions Dupuis, Sergio Bonelli Editore","",""
"1775",NA,"Polacco, Armando Miron","M","Disegni","IT","GN","BeccoGiallo","",""
"445",NA,"Pollicelli, Giuseppe","M","Disegni, Sceneggiatura","IT","P","Corriere della Sera/La Lettura, Fumo di China/Freecom, Libero Quotidiano","",""
"476",NA,"Possenti, Christopher","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"388",NA,"Recagno, Carlo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1723",NA,"Riboldi, Riccardo","M","Lettering","IT","P","Sergio Bonelli Editore","",""
"1014",NA,"Rocchi, Marco","M","Sceneggiatura","IT","GN","Kleiner Flug, Tunué","",""
"1972",NA,"Rossetti, Antonio","M","Autore Unico","IT","GN","Bao Publishing","",""
"774",NA,"Russo, Nino","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1815",NA,"Scozzari, Filippo","M","Autore Unico","IT","GN","Coconino Press","",""
"290",NA,"Sforza, Antonio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"875",NA,"Simone, Simona","F","Disegni","IT","GN","Edizioni INKiostro","",""
"423",NA,"Talarico, Mauro","M","Autore Unico","IT","GN","001 Edizioni","Scuola internazionale di Comics - Roma",""
"630",NA,"Tamiazzo, Stefano","M","Disegni","FR, IT","GN","Éditions Paquet, ReNoir Comics","Scuola internazionale di Comics - Padova",""
"808",NA,"Vitaliano, Fausto","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1852",NA,"Vitrano, Erika","F","Disegni","IT","GN","Ex Libris","",""
"1510",NA,"Vivenzo, Alessia","F","Autrice Unica","IT","GN","Shockdom","Scuola italiana di Comix (Napoli)",""
"1856",NA,"Zangari, Santa","F","Chine","IT","P","The Walt Disney Company","",""
"519",NA,"Zetti, Luigi","M","Autore Unico","IT","GN","Hazard Edizioni","",""
