Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Pagliarino, Alberto",M,Sceneggiatura,IT,GN,Beccogiallo,The Sign - Comics & Arts Academy (Firenze)
,"Paoloni, Simone",M,Disegni,IT,P,"Sergio Bonelli Editore, Edizioni Zanetti",
,"Parma, Gabriele",M,"Disegni, Colori","FR, IT",GN,"ReNoir Comics, Editions Delcourt, First",Scuola Chiavarese del Fumetto
,"Pasini, Fabrizio",M,Disegni,FR,GN,Vents d'Ouest,
,"Pelizzari, Giorgio",M,Sceneggiatura,IT,"P, GN","The Walt Disney Company, Hazard Edizioni",Scuola superiore d'arte applicata (Milano)
,"Pelizzari, Ivan",M,Sceneggiatura,IT,GN,Libreria Geografica,
,"Perla, Valentina",F,Colori,IT,P,The Walt Disney Company,
,"Rossi, Francesco",M,Disegni,IT,GN,Shockdom,
,"Renna, Marco",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Rea, Roberta",F,Autrice unica,IT,GN,Shockdom,
,"Rubegni, Riccardo",M,Disegni,IT,GN,Weird Book,
,"Rocca, Massimo",M,Colori,"FR, IT","P, GN","The Walt Disney Company, Editions Delcourt",
,"Ralli, Luca",M,Autore unico,IT,GN,"Barta Edizioni, Round Robin",
,"Scagni, Stefano",M,Disegni,IT,GN,ReNoir Comics,
,"Santoro, Alessandro",M,Colori,IT,GN,"Magic Press Edizioni, Magazzini Salani",
,"Sada, Marco",M,Disegni,IT,GN,Renbooks,Scuola internazionale di Comics - Padova
,"Segala, Francesco",M,Colori,"IT, US","P, GN","Magic Press Edizioni, Beccogiallo, Bugs Comics, Boom! Studios",
,"Tieri, Luca",M,Autore unico,IT,GN,Coconino Press,
,"Tota, Alessandro",M,"Autore unico, Sceneggiatura","FR, IT",GN,"Coconino Press, Oblomov Edizioni, Dargaud, Futuropolis, Cornélius, L'école des Loisirs",
,"Toso, Angelo",M,Sceneggiatura,IT,GN,Shockdom,
,"Vila, Miguel",M,Autore unico,IT,GN,Canicola Edizioni,
,"Valentino, Tina",F,Disegni,"FR, US","P, GN","Editions Clair de Lune, IDW Publishing, Zenescope",
,"Virzì, Emanuele",M,Disegni,IT,P,The Walt Disney Company,
,"Zilio, Mirco",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Vivan, Sara",F,Autrice unica,IT,GN,Contrasto,
,"Volpini, Federico",M,Disegni,"FR, IT",GN,"Edizioni Inkiostro, Editions du Long Bec",
,"D'Ascani, Federica",F,Sceneggiatura,IT,P,Editoriale Aurea,
,"Capoano, Giuseppe",M,Disegni,IT,GN,Beccogiallo,
