Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Rossi, Mario",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ticci, Giovanni",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Milazzo, Ivo",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing, Edizioni NPE",
,"De Angelis, Roberto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ambrosini, Carlo",M,"Disegni, Sceneggiatura",IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Milano
,"Mastantuono, Corrado",M,"Disegni, Sceneggiatura",IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Filippucci, Lucio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Clair de Lune, Erko",
,"Frisenda, Pasquale",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",
,"Civitelli, Fabio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Venturi, Andrea",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ruju, Pasquale",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Feltrinelli Editore",
,"Roi, Corrado",M,Disegni,IT,P,"Sergio Bonelli Editore, BD",
,"Rotundo, Massimo",M,Disegni,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Faraci, Luca",,Sceneggiatura,IT,"P, GN","Astorina, Sergio Bonelli Editore, The Walt Disney Company, Rizzoli Lizard Lizard, Feltrinelli Editore, BD",Scuola Holden
,"Andreucci, Stefano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Alberti, Mario",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Les Humanoides Associes, Editions Soleil, Editions Delcourt, Editions Glenat",
,"Masiero, Michele",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Kha, Andrea",M,Sceneggiatura,IT,GN,Mangasenpai,
,"Hamilton, Piky",F,Colori,IT,P,Sergio Bonelli Editore,
,"Cestaro, Raul",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola italiana di Comix (Napoli)
,"Cestaro, Gianluca",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola italiana di Comix (Napoli)
,"Camagni, Jacopo",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Rubini, Michele",M,Disegni,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Diso, Roberto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Formaggio, Ketty",F,Colori,IT,P,Sergio Bonelli Editore,
,"Latina, Riccardo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Nocera, Alessia",F,Colori,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat",Scuola internazionale di Comics - Napoli
,"Massacci, Alex",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bertolucci, Federico ",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, ReNoir Comics, Editions Soleil, Editions Delcourt, Editions Glenat, Editions Dupuis, Ankama Editions",SRF - Scuola Romana dei Fumetti
,"De Felici, Lorenzo ",M,Disegni,"FR, IT, US",P,"SaldaPress, Sergio Bonelli Editore, Ankama Editions",
,"Leoni, Annalisa",F,Colori,IT,"P, GN","SaldaPress, Sergio Bonelli Editore",SRF - Scuola Romana dei Fumetti
,"Rigamonti, Davide",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Resinanti, Matteo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"De Biase, Mariano",M,"Disegni, Colori",IT,P,Sergio Bonelli Editore,
,"Acciarino, Gianluca",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola italiana di Comix (Napoli)
,"Bocci, Alessandro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Celestini, Oscar",M,Colori,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"La Neve, Michelangelo",M,Sceneggiatura,IT,P,The Walt Disney Company,SRF - Scuola Romana dei Fumetti
,"Caracuzzo, Giancarlo",M,Disegni,"FR, IT, US",P,"Sergio Bonelli Editore, Bugs Comics, Marvel Comics, Editions Delcourt, IDW Publishing",
,"DI Vincenzo, Maurizio",M,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",SRF - Scuola Romana dei Fumetti
,"Accardi, Andrea",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing, Feltrinelli Editore",
,"Toffolo, Davide ",M,Autore unico,IT,"P, GN","BAO Publishing, Coconino Press, Rizzoli Lizard Lizard, Panini Comics, Oblomov Edizioni",
,"Vilella, Sebastiano ",M,Autore unico,IT,GN,"Coconino Press, Oblomov Edizioni",Grafite - Scuola di grafica e fumetto (Taranto)
,"Ramella, Bruno",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Liberatore, Gaetano",M,"Disegni, Autore unico",IT,GN,COMICON Edizioni,
,"Prisco, Giuseppe",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Piccioni, Valerio",M,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",
,"Cossu, Ugolino",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Piccinelli, Alessandro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Canepa, Barbara",F,"Disegni, Colori","FR, IT",GN,"The Walt Disney Company, BAO Publishing, Tunué, Editions Soleil",
,"Merli, Anna ",F,"Disegni, Colori",IT,"P, GN","The Walt Disney Company, BAO Publishing",
,"Biglia, Stefano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Nespolino, Alessandro",M,Disegni,IT,P,Sergio Bonelli Editore,"Scuola italiana di Comix (Napoli), Scuola internazionale di Comics - Napoli"
,"Camuncoli, Giuseppe",M,Disegni,"IT, US","P, GN","Panini Comics, Arnoldo Mondadori Editore, Dc Comics, Marvel Comics",Scuola internazionale di Comics - Firenze/Reggio Emilia
,"Esposito, Nando",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Esposito, Denisio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Conte, Fidalma",F,Autrice unica,IT,GN,"Shockdom, Mangasenpai",
,"Patanè, Alessandra",F,Disegni,IT,"P, GN","Shockdom, Panini Comics, Dc Comics, Marvel Comics",
,"Siviero, Francesca",F,Autrice unica,IT,GN,Mangasenpai,
,"Della Ciana, Giulia",F,Autrice unica,IT,GN,Mangasenpai,
,"Starace, Alessandro",M,Sceneggiatura,IT,GN,Mangasenpai,
,"Berghella, Leonardo",M,Disegni,IT,GN,Mangasenpai,
,"Mura, Martina",F,Autrice unica,IT,GN,Mangasenpai,
,"Benevento, MIchele",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Zuccheri, Laura",F,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, ReNoir Comics, Les Humanoides Associes",
,"Nostrale, Filomena",F,Autrice unica,IT,GN,Shockdom,
,"Burchielli, Riccardo",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Verni, Marco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Sedioli, Gianni",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rauch, Jacopo",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Mignacco, Luigi",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Toma, Elena",F,"Disegni, Autrice unica","FR, IT",GN,"Shockdom, H2T - L'Hydre",
,"Lucking, Thomas",M,Sceneggiatura,IT,GN,Shockdom,
,"Messina, Federica",F,Autrice unica,IT,GN,Shockdom,
,"Cifone, Elisabetta",F,Autrice unica,IT,GN,Shockdom,
,"De Plano, Chiara",F,Autrice unica,IT,GN,Shockdom,
,"Sergi, Rossella",F,Autrice unica,IT,GN,Shockdom,
,"Chiocca, Ilaria",F,"Disegni, Colori, Sceneggiatura","IT, US",GN,"Shockdom, Scout Comics",
,"Batista, Natalia",F,Autrice unica,IT,GN,Shockdom,
,"Lo Giudice, Riccardo",M,Autore unico,IT,GN,Shockdom,
,"Aquaro, Stefania",F,Colori,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil",
,"Pastorello, Alessia",F,Colori,IT,P,Sergio Bonelli Editore,
,"Nisi, Giovanni",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ongaro, Paolo",M,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Palumbo, Giuseppe",M,Disegni,IT,"P, GN","Astorina, Sergio Bonelli Editore, Coconino Press, Edizioni Inkiostro",
,"Gomboli, Mario",M,Sceneggiatura,IT,P,Astorina,
,"Bá, Gabriel",M,Sceneggiatura,IT,GN,Beccogiallo,
,"De Rosa, Josie",F,Colori,IT,P,Sergio Bonelli Editore,
,"Casertano, Giampiero",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, ReNoir Comics",
,"Rossi Edrighi, Federico",M,Autore unico,IT,"P, GN","Sergio Bonelli Editore, Star Comics, The Walt Disney Company, BAO Publishing, Coconino Press",
,"Torti, Riccardo",M,Disegni,IT,P,"Sergio Bonelli Editore, Editoriale Cosmo",
,"Spadoni, Cristiano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bagnoli, Gabriele",M,"Disegni, Colori","FR, IT","P, GN","Sergio Bonelli Editore, Editions Dupuis",
,"De Dominicis, Andrea",M,Colori,IT,P,Sergio Bonelli Editore,
,"Rincione, Giulio",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Shockdom",Scuola internazionale di Comics - Napoli
,"Melaranci, Elisabetta",F,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Santarelli, Dario",M,Colori,IT,P,Sergio Bonelli Editore,
,"Matrone, Marco",M,"Colori, Autore unico",IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",
,"La Rosa, Davide",M,"Autore unico, Sceneggiatura",IT,"P, GN","Sergio Bonelli Editore, Shockdom, Editoriale Cosmo, Edizioni NPE",Scuola superiore d'arte applicata (Milano)
,"Petruccioli, Rita",F,Autrice unica,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",
,"Gatto, Roberto",M,Colori,IT,P,Sergio Bonelli Editore,
,"Chiaverotti, Claudio",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Fattori, Andrea",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil",
,"Pierfederici, Mirco",M,Disegni,"IT, US",P,"Sergio Bonelli Editore, Panini Comics, Dc Comics, Marvel Comics",Scuola internazionale di Comics - Pescara
,"De Tommaso, Fabrizio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Siniscalchi, Luigi",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Cavenago, Luigi",M,"Disegni, Colori",IT,P,Sergio Bonelli Editore,
,"Freghieri, Giovanni",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Danubio, Giacomo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Atzori, Mario",M,Disegni,IT,P,Sergio Bonelli Editore,CIF - Centro internazionale del fumetto (Cagliari)
,"Barbieri, Luca",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Barison, Emanuele",M,Disegni,IT,P,"Astorina, Sergio Bonelli Editore, The Walt Disney Company",
,"Berardi, Giancarlo",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Bertozzi, Enrico",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bianchini, Marco",M,Disegni,FR,GN,"Editions Soleil, Editions Glenat",
,"Bruzzo, Giovanni",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Cajelli, Diego",M,Sceneggiatura,IT,"P, GN","Astorina, Sergio Bonelli Editore, BD",
,"Calegari, Renzo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Barbato, Paola",F,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Cavaletto, Andrea",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro, Bugs Comics",Scuola Holden
,"Copello, Luigi",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Del Vecchio, Pasquale",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Milano
,"De Vita, Giulio",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Le Lombard",
,"Della Monica, Raffaele",M,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Devescovi, Franco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Eleuteri Serpieri, Paolo",M,Disegni,FR,GN,"Editions Glenat, Editions Mosquito",
,"Genzianella, Nicola",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Giusfredi, Giorgio",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Gualdoni, Giovanni",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Laurenti , Mauro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Leonardo, Massimiliano",M,Disegni,IT,P,"Sergio Bonelli Editore, BD",SRF - Scuola Romana dei Fumetti
,"Milano, Mario",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Piazzalunga, Patrick",M,Disegni,IT,P,"Sergio Bonelli Editore, It Comics",
,"Poli, Alessandro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rossi, Luca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rossi, Rossano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Scascitelli, Sandro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Simeoni, Gigi",M,"Disegni, Sceneggiatura",IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Brescia
,"Spada, Dante",M,Disegni,IT,P,Sergio Bonelli Editore,Pencil ART (Bari)
,"Stano, Angelo",M,"Disegni, Colori",IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Milano
,"Testi, Francesco",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Torricelli, Marco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Torti, Rodolfo",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Roma
,"Vannini, Luca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Venturi, Walter",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, The Walt Disney Company, Editoriale Cosmo, Editions Glenat",
,"Zaghi, Roberto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Zamberletti, Antonio",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Accatino, Fabrizio",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Armentaro, Flaviano",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Dargaud",
,"Armitano, Paolo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil",
,"Artusi, Andrea",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Ciampi, Francesco",M,Autore unico,IT,"P, GN","Sergio Bonelli Editore, Coconino Press, 001 Edizioni",
,"Bacilieri, Paolo",M,"Disegni, Autore unico","FR, IT","P, GN","Sergio Bonelli Editore, Coconino Press, Canicola Edizioni, Casterman",Scuola internazionale di Comics - Milano/Reggio Emilia
,"Baggi, Alessandro",M,Autore unico,FR,GN,Editions Mosquito,
,"Baraldi, Barbara",F,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Edizioni NPE",
,"Barbieri, Giovanni",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, Star Comics, Editoriale Cosmo",The Sign - Comics & Arts Academy (Firenze)
,"Barzi, Davide",M,Sceneggiatura,IT,GN,"Beccogiallo, It Comics",Scuola del fumetto (Milano)
,"Belli, Marco",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, ReNoir Comics",
,"Bigliardo, Daniele",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bilotta, Alessandro",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Star Comics, Feltrinelli Editore",Scuola internazionale di Comics - Roma
,"Casale, Dennis",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Cattani, Francesco",M,"Disegni, Chine, Autore unico",IT,"P, GN","Sergio Bonelli Editore, Coconino Press, Canicola Edizioni","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
,"Camagni, Giulio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Arduini, Lucia",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Chiereghin, Riccardo",M,Disegni,IT,P,"Sergio Bonelli Editore, ReNoir Comics",
,"Da Sacco, Michela",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Mattone, Italo",M,Disegni,IT,P,"Sergio Bonelli Editore, ReNoir Comics",Scuola internazionale di Comics - Napoli
,"Carretta, Fernando",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Carnevale, Massimo",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BD",
,"Casalanguida, Luca",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Delcourt",
,"Casali, Matteo",M,Sceneggiatura,"IT, US","P, GN","Sergio Bonelli Editore, Panini Comics, Dc Comics, Marvel Comics",Scuola internazionale di Comics - Firenze/Reggio Emilia
,"Catacchio, Onofrio",M,"Disegni, Autore unico",IT,"P, GN","Sergio Bonelli Editore, Centauria",Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)
,"Cavazzano, Giorgio",M,Disegni,IT,P,The Walt Disney Company,
,"Celoni, Fabio",M,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Chella, Andrea",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Delcourt",Scuola italiana di Comix (Napoli)
,"Coppola, Gianluigi",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Corbetta, Silvia",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Rincione, Marco",M,Sceneggiatura,IT,GN,Shockdom,
,"Balestrucci Fancellu, Roberta",F,Sceneggiatura,IT,GN,Beccogiallo,
,"Di Meo, Federica",F,Disegni,IT,P,Panini Comics,Scuola di fumetto (Associazione scuola di fumetto - varie sedi)
,"Valdambrini, Fabio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Clair de Lune",
,"Foderà, Marco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Di Vitto, Stefano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Di Vitto, Domenico",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rudoni, Daniele",M,Colori,IT,P,Sergio Bonelli Editore,
,"Sguanci, Elisa",F,Colori,IT,P,Sergio Bonelli Editore,
,"Quaglia, Sauro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Raffaelli, Paolo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Clair de Lune",
,"Riccio, Giuseppe",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Sforza, Antonio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Crippa, Alessandro",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, ReNoir Comics, Edizioni Inkiostro, Bugs Comics",Scuola del fumetto (Milano)
,"Dall'Agnol, Piero",M,Disegni,IT,P,Sergio Bonelli Editore,
,"De Nardo, Giuseppe",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Dell'Edera, Werther",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Feltrinelli Editore",
,"Dell'Uomo, Luca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Cerveglieri, Pierluigi",M,Disegni,"FR, IT","P, GN","Astorina, The Walt Disney Company, Editions Clair de Lune",
,"Montorio, Giorgio",M,Disegni,IT,P,Astorina,
,"Merati, Luigi",M,Disegni,IT,P,Astorina,
,"Cavallini, Linda",F,Disegni,IT,GN,Panini Comics,
,"Tenderini, Emanuele",M,"Disegni, Colori","FR, IT","P, GN","Panini Comics, Les Humanoides Associes, Editions Delcourt",
,"Talami, Giovanni",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Fissore, Piero",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, ReNoir Comics",
,"Mandanici, Patrizia",F,"Disegni, Colori",IT,P,Sergio Bonelli Editore,
,"Sciarrone, Claudio",M,Disegni,IT,P,The Walt Disney Company,
,"Albrigi, Simone",M,Autore unico,IT,"P, GN","Shockdom, Feltrinelli Editore",
,"Anderle, Ernesto",M,Autore unico,IT,GN,Beccogiallo,
,"Riccio, Renato",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Santaniello, Matteo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ambu, Fabiano",M,"Disegni, Autore unico",IT,GN,"Beccogiallo, It Comics",
,"Bartolini, Fabio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Belardo, Vanessa",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Califano, Silvia",F,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",
,"Casini, Stefano",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Tunué, Editions Mosquito",
,"Cavini, Ivan",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Colombo, Maurizio",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Cropera, Michele",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Dal Lago, Alberto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"De Luca, Antonio",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Del Campo, Andrea",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Delladio, Simone",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Di Gregorio, Giovanni",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, The Walt Disney Company, BAO Publishing",
,"Faini, Edvige",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Bianconi, Valentina",F,Colori,IT,P,Sergio Bonelli Editore,
,"Falco, Claudio",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,Scuola italiana di Comix (Napoli)
,"Saviane, Martina",F,Colori,IT,P,Sergio Bonelli Editore,
,"Fortunato, Alessio",M,Disegni,IT,P,Sergio Bonelli Editore,Grafite - Scuola di grafica e fumetto (Taranto)
,"Gallo, Francesco",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",Scuola internazionale di Comics - Genova
,"Gramaccioni, Oliviero",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Gualandris, Giorgio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Gualtieri, Giulio Antonio",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, Editoriale Cosmo",Scuola internazionale di Comics - Pescara
,"Editions Le Lombardo, Ivo",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Longo, Fabrizio",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Einaudi, Bompiani",Genova Comics Academy
,"Lozzi, Arturo",M,Disegni,IT,P,"Sergio Bonelli Editore, Panini Comics",
,"Marolla, Samuel",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Marsiglia, Stefano",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, Editoriale Cosmo",
,"Montanini, Angelo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Parrillo, Lucio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Piccininno, Giuliano",M,"Disegni, Autore unico",IT,P,Sergio Bonelli Editore,Dali Arts (Vicenza)
,"Mericone, Silvia",F,Sceneggiatura,IT,P,"Sergio Bonelli Editore, Star Comics",
,"Porretto, Rita",F,Sceneggiatura,IT,P,"Sergio Bonelli Editore, Star Comics",
,"Raimondo, Luca",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil, Editions Glenat",
,"Raule, Susanna",F,Sceneggiatura,"FR, IT","P, GN","Panini Comics, Casterman",
,"Rosenzweig, Maurizio",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BD",
,"Russo, Fabrizio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Petit à Petit",
,"Stassi, Claudio",M,"Disegni, Autore unico","FR, IT",GN,"BAO Publishing, Rizzoli Lizard Lizard",
,"Stasella, Daniele",M,Disegni,IT,P,Sergio Bonelli Editore,Università Popolare di Vercelli (Corso di fumetto)
,"Venanzetti, Nicola",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Vercelli, Gino",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola di fumetti di Asti
,"Viotti, Dario",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"Zontini, Luca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Mari, Nicola",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Gerasi, Sergio",M,"Disegni, Autore unico",IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",Scuola internazionale di Comics - Milano
,"Toraldo, Manfredi",M,Sceneggiatura,IT,GN,Shockdom,Scuola internazionale di Comics - Genova/Torino
,"Cozzi, Gianmarco",M,Colori,IT,P,Sergio Bonelli Editore,
,"Ghion, Marco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bianchi, Simone",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Mottura, Paolo",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Artibani, Francesco",M,Sceneggiatura,IT,"P, GN","The Walt Disney Company, Tunué, Edizioni NPE",SRF - Scuola Romana dei Fumetti
,"Stabile, Vito",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Barbaro, Graziano",M,Disegni,IT,P,The Walt Disney Company,Scuola superiore d'arte applicata (Milano)
,"Gagnor, Roberto",M,Sceneggiatura,IT,P,The Walt Disney Company,Scuola internazionale di Comics - Torino
,"Freccero, Andrea",M,Disegni,"IT, US",P,"The Walt Disney Company, IDW Publishing",Scuola internazionale di Comics - Genova
,"Mauro, Pedro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rinaldi, Roberto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Nucci, Marco",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, The Walt Disney Company, Tunué, Panini Comics",Scuola internazionale di Comics - Milano
,"Romeo, Valentina",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Toninelli, Marcello",M,Autore unico,IT,P,"Shockdom, Periodici San Paolo",
,"Ortolani, Lorenzo",M,Colori,IT,P,Panini Comics,
,"Bevilacqua, Giacomo Andrea",M,"Disegni, Autore unico",IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",
,"Avallone, Alessio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Cremona, Matteo",M,Disegni,IT,P,"Sergio Bonelli Editore, Panini Comics",
,"Niro, Giovanna",F,Colori,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Vinci, Vanna",F,Autrice unica,IT,GN,"BAO Publishing, Rizzoli Lizard Lizard, Solferino",
,"Vattani, Matteo",M,Colori,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat, Le Editions Le Lombard",SRF - Scuola Romana dei Fumetti
,"Piccatto, Luigi",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola di fumetti di Asti
,"Di Giandomenico, Carmine",M,Disegni,"IT, US","P, GN","SaldaPress, Star Comics, Panini Comics, Feltrinelli Editore, Dc Comics, Marvel Comics",
,"Grassani, Ernesto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Montanari, Giuseppe",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Brusco, Giulia",F,Colori,IT,P,Sergio Bonelli Editore,
