"","x"
"275","Segni D'autore"
"276","RW Edizioni - Goen"
"277","Elledici"
"278","Ave"
"279","Spaceman Project"
"280","Tapages Nocturnes"
"281","Contrasto"
"282","GP Publishing"
"283","Macchia Nera"
"284","Lion Forge Comics"
"285","Black Mask Studios"
