"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"915",NA,"Aleandri, Paolo","M","Disegni","USA","P","","",""
"510",NA,"Allegretti, Angelo","F","Autrice Unica","IT","GN","Hazard Edizioni","",""
"1178",NA,"Ambrosini, Alessandro","M","Disegni","IT","GN","BeccoGiallo","",""
"306",NA,"Anderle, Ernesto","M","Autore Unico","IT","GN","BeccoGiallo","",""
"624",NA,"Assirelli, Nicolo","M","Disegni","IT","P, GN","BD, Sergio Bonelli Editore","",""
"187",NA,"Bá, Gabriel","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"254",NA,"Baggi, Alessandro","M","Autore Unico","FR","GN","Editions Mosquito","",""
"989",NA,"Baldolini, Fabio","M","Disegni","IT","GN","Edizioni INKiostro","",""
"613",NA,"Barberi, Carlo","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"256",NA,"Barbieri, Giovanni","M","Sceneggiatura","IT","P","Editoriale Cosmo, Sergio Bonelli Editore, Star Comics","The Sign - Comics & Arts Academy (Firenze)",""
"1203",NA,"Belandi, Nicolo'","M","Disegni","IT","GN","BeccoGiallo","",""
"164",NA,"Benevento, MIchele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1061",NA,"Bergami, Giulio","M","Sceneggiatura","IT","GN","Kleiner Flug","",""
"666",NA,"Bertolini, Massimiliano","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore","",""
"369",NA,"Bevilacqua, Giacomo Andrea","M","Autore Unico, Disegni","IT","P, GN","Bao Publishing, Sergio Bonelli Editore","",""
"1959",NA,"Borelli, Elisa","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"89",NA,"Burattini, Moreno","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1310",NA,"Camelli, Laura","F","Disegni","FR","GN","Sarbacane","",""
"1493",NA,"Campana, Paola","M","Autore Unico","IT","GN","Tunué","",""
"908",NA,"Canfailla, Christian","M","Disegni","FR","GN","Éditions Dupuis","",""
"493",NA,"Capone, Alessandro","M","Autore Unico","IT","GN","Hoppipolla","",""
"566",NA,"Carratello, Veronica","F","Autrice Unica","IT","GN","Bao Publishing, Edizioni NPE","",""
"268",NA,"Carretta, Fernando","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"207",NA,"Cavenago, Luigi","M","Colori, Disegni","IT","P","Sergio Bonelli Editore","",""
"1945",NA,"Checcaglini, Claudia","F","Colori","FR","GN","Éditions Delcourt","",""
"1944",NA,"Corsani, Cristiano","M","Autore Unico","IT","GN","Sbam! Comics","",""
"354",NA,"Cozzi, Gianmarco","M","Colori","IT","P","Sergio Bonelli Editore","",""
"615",NA,"D'Ambrosio, Marco","M","Autore Unico","IT","GN","Bao Publishing, Rizzoli Lizard","",""
"1225",NA,"Davide, Cali'","M","Sceneggiatura","FR, IT","GN","Diabolo Edizioni, Kramiek, Sarbacane","",""
"730",NA,"De Grimani, Elena","F","Autrice Unica","IT","GN","Panini Comics, Star Comics","",""
"940",NA,"De Mojana, Niccolò","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1487",NA,"Del Vecchio, Beniamino","","Chine, Disegni","IT","P","Astorina, ReNoir Comics, Sergio Bonelli Editore","",""
"1046",NA,"Di Nicola, Fabrizio","M","Disegni","IT","GN","Edizioni NPE, Shockdom","",""
"1950",NA,"di Qual, Giovanni","M","Disegni","IT","GN","BeccoGiallo","",""
"140",NA,"DI Vincenzo, Maurizio","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"955",NA,"Dispenza, Flavio","M","Colori","USA","P","DC Comics, IDW Publishing","",""
"226",NA,"Eleuteri Serpieri, Paolo","M","Disegni","FR","GN","Éditions Glenat, Editions Mosquito","",""
"156",NA,"Esposito, Denisio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"155",NA,"Esposito, Nando","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"114",NA,"Faraci, Luca","","Sceneggiatura","IT","P, GN","Astorina, BD, Feltrinelli Editore, Rizzoli Lizard, Sergio Bonelli Editore, The Walt Disney Company","Scuola Holden",""
"1091",NA,"Federici, Vincenzo","M","Disegni","FR, IT, USA","P, GN","Éditions Soleil, IDW Publishing, Noise Press, Petit à Petit, Triomphe","",""
"886",NA,"Frongia, Francesco","M","Autore Unico","IT","GN","Eris Edizioni","The Sign - Comics & Arts Academy (Firenze)",""
"1966",NA,"Ganduglia, Giacomo","M","Autore Unico, Disegni","USA","P","SwampLine Comics, Throw the Dice Productions","",""
"1964",NA,"Giarolli, Manuel","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1976",NA,"Hassan, Mariem","F","Disegni","IT","GN","Barta Edizioni","",""
"1036",NA,"Honaryar, Nassim","F","Autrice Unica","IT","GN","Rizzoli Lizard","",""
"1244",NA,"Janni, Mario","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1376",NA,"Lauro, Carlo","M","Chine, Colori, Disegni","IT","P, GN","Magic Press Edizioni, Panini Comics, ProGlo, Shockdom, Tatai Lab","",""
"1261",NA,"Leiz, Leila","F","Disegni","FR, IT, USA","P","AfterShock Comics, Éditions Soleil, Sergio Bonelli Editore","",""
"145",NA,"Liberatore, Gaetano","M","Autore Unico, Disegni","IT","GN","COMICON Edizioni","",""
"1088",NA,"Longo, Albhey","M","Autore Unico","IT","GN","Bao Publishing","",""
"1943",NA,"Lucchesi, Stephanie","F","Disegni","IT","GN","Kleiner Flug","",""
"854",NA,"Maconi, Gianluca","M","Disegni","FR, IT, USA","P, GN","Alias - il Manifesto, BD, BeccoGiallo, Éditions Soleil, Sergio Bonelli Editore, Star Comics, The Walt Disney Company","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)",""
"755",NA,"Magrelli, Valerio","F","Lettering","IT","GN","Edizioni NPE","",""
"2",NA,"Manara, Maurilio","","Autore Unico, Disegni","FR, IT, USA","GN","Arnoldo Mondadori Editore, COMICON Edizioni, Marvel Comics, Panini Comics","",""
"1308",NA,"Manupelli, Ivan","M","Autore Unico","IT","GN","Einaudi, Eris Edizioni","Scuola Mohole (Milano)",""
"1975",NA,"Marsili, Alessandra","F","Disegni","FR","GN","Ankama Éditions, Sarbacane","",""
"499",NA,"Matteuci, Agata","F","Autrice Unica","IT","GN","Edizioni NPE","",""
"1987",NA,"Melis, Andrea","M","Sceneggiatura","IT","P","De Agostini, It Comics, Sergio Bonelli Editore","FumÃ© Scuola di fumetto",""
"1981",NA,"Moretta, Vittoria","F","Autrice Unica","IT","GN","Coconino Press","",""
"431",NA,"Munoz, Jose'","M","Autore Unico, Disegni","IT","GN","Coconino Press, Oblomov Edizioni","",""
"1259",NA,"Nanni, Eleonora Dea","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"16",NA,"Nigro, Sisto","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"994",NA,"Oliveira, Bruno","M","Autore Unico","IT","P","San Paolo Periodici","FumÃ© Scuola di fumetto",""
"1977",NA,"Orizio, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Brescia",""
"4",NA,"Ortolani, Leonardo","M","Autore Unico","IT","P, GN","Bao Publishing, Feltrinelli Editore, Panini Comics","",""
"676",NA,"Palomba, Francesca","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1983",NA,"Pantalena, Paola","F","Disegni","IT, USA","P, GN","DC Comics, Marvel Comics, Star Comics, Zenescope","",""
"468",NA,"Patrovicchio, Lorenzo","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"520",NA,"Perri, Emilia Cinzia","F","Sceneggiatura","IT","GN","BD","",""
"1048",NA,"Petrobon, Federico","M","Colori, Disegni","FR","GN","Éditions Delcourt, Éditions le Lombard, Éditions Soleil","",""
"716",NA,"Piccoli, Stefano","M","Autore Unico","IT","GN","Round Robin, Tunué","SRF - Scuola Romana dei Fumetti",""
"1420",NA,"Pocetta, Elisa","F","Autrice Unica, Colori","IT","GN","Shockdom","",""
"342",NA,"Raule, Susanna","F","Sceneggiatura","FR, IT","P, GN","Casterman, Panini Comics","",""
"919",NA,"Ricciardi, Giuseppe","M","Disegni","FR, IT","GN","Éditions Soleil, Edizioni NPE","Scuola italiana di Comix (Napoli)",""
"1967",NA,"Rivelli, Mario","M","Autore Unico","IT","GN","Centauria, Coconino Press","Corso di fumetto - Arena del Fumetto (Bologna), Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)",""
"839",NA,"Rovero, Pierpaolo","M","Disegni","FR","P, GN","Éditions Glenat, Éditions Jungle, The Walt Disney Company","",""
"998",NA,"Scalco, Oscar","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1285",NA,"Scomparsa, Roberta","F","Autrice Unica","IT","GN","Canicola Edizioni, Coconino Press","",""
"1960",NA,"Signorelli, Josephine","F","Autrice Unica","IT","GN","BeccoGiallo, Diabolo Edizioni, Feltrinelli Editore, Linus","",""
"346",NA,"Stasella, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore","UniversitÃ  Popolare di Vercelli (Corso di fumetto)",""
"1003",NA,"Storai, Niccolo'","M","Autore Unico","IT","GN","Rizzoli Lizard, Tunué","",""
"1443",NA,"Tripood, Alexander","M","Autore Unico","IT","GN","Shockdom","",""
"1143",NA,"Vicentini Orgnani, Francesco","M","Sceneggiatura","IT","GN","BD","",""
"380",NA,"Vigna, Giuseppe","","Sceneggiatura","IT","P","Kleiner Flug, Sergio Bonelli Editore, The Walt Disney Company","CIF - Centro internazionale del fumetto (Cagliari)",""
"524",NA,"Vinci, Antonio","M","Autore Unico","IT","GN","Hazard Edizioni, Tunué","Scuola internazionale di Comics - Pescara",""
"1510",NA,"Vivenzo, Alessia","F","Autrice Unica","IT","GN","Shockdom","Scuola italiana di Comix (Napoli)",""
"1325",NA,"Zaccagnino, Daniela","M","Sceneggiatura","IT","GN","Cronache di Topolinia","",""
