"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"138",NA,"Barletta, Emiliano","M","Sceneggiatura","IT","GN","Edizioni NPE","",""
"139",NA,"Baronciani, Alessandro","M","Autore Unico","IT","GN","Bao Publishing","",""
"140",NA,"Barone, Adriano","M","Sceneggiatura","IT","P, GN","BeccoGiallo, Sergio Bonelli Editore, TunuÈ","",""
"141",NA,"Barone, Benedetta","F","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"142",NA,"Barone, Gianluca","M","Disegni","IT","P","The Walt Disney Company","",""
"143",NA,"Baroni, Marta","F","Autrice Unica","IT","GN","Bao Publishing","",""
"144",NA,"Barozzi, Danilo","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","Scuola del fumetto (Milano)",""
"145",NA,"Barretta, Marco","M","Sceneggiatura","IT","GN","TunuÈ","",""
"146",NA,"Bartolini, Egle","M","Disegni","USA","P","Titan Comics","Scuola Chiavarese del Fumetto",""
"147",NA,"Bartolini, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"148",NA,"Barzi, Davide","M","Sceneggiatura","IT","GN","BeccoGiallo, It Comics","Scuola del fumetto (Milano)",""
"149",NA,"Basile, Massimo","M","Sceneggiatura","IT","GN","Round Robin","",""
"150",NA,"Bastianoni, Dante","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"151",NA,"Batelli, Martina","F","Autrice Unica, Disegni","IT","GN","Tatai Lab","",""
"152",NA,"Batista, Natalia","F","Autrice Unica","IT","GN","Shockdom","",""
"153",NA,"Battestini, Roberto","M","Autore Unico","IT","GN","001 Edizioni","",""
"154",NA,"Battisti, Giorgio","M","Disegni","IT","GN","Shockdom","",""
"155",NA,"Battistutta, Aretha","F","Colori","FR","GN","Bamboo …ditions, DBDO, …ditions Glenat","",""
"156","David B.","Beauchard, Pierre-FranÁois","M","Autore Unico","IT, FR","GN","Bao Publishing, Coconino Press, CornÈlius, …ditions le Lombard, Futuropolis, L'Association, Rizzoli Lizard","",""
"157",NA,"Becciu, Antonello","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"158",NA,"Belandi, NicolÚ","M","Disegni","IT","GN","BeccoGiallo","",""
"159",NA,"Belardo, Vanessa","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"160",NA,"Belgrado, Eugenio","M","Autore Unico, Disegni","IT","GN","Lavieri Edizioni","",""
"161","Elisa2B","Beli Borelli, Elisa","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"162","G√≠ez","Bellagamba, Carlo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"163",NA,"Belletti, Alessandra","F","Lettering","IT","P","Sergio Bonelli Editore","",""
"164",NA,"Belli, Marco","M","Sceneggiatura","IT","P, GN","ReNoir Comics, Sergio Bonelli Editore","",""
"165",NA,"Bellomi, Federica","F","Autrice Unica","IT","GN","Diabolo Edizioni","",""
"166",NA,"Beltramini, Micol","F","Sceneggiatura","IT","GN","BD","",""
"167",NA,"Beltramo, Silvano","M","Chine, Colori, Disegni","USA","P","AC Comics, Advent Comics, Red Crow Comics, T-Pub Comics","Scuola internazionale di Comics - Genova/Torino",""
"168",NA,"Ben Mohamed, Takoua","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"169",NA,"Benassi, Alessandro","M","Lettering","IT","GN","BD","",""
"170",NA,"Bendazzoli, Erika","F","Colori","IT","P","Sergio Bonelli Editore","",""
"171",NA,"Bendotti, Giacomo","M","Autore Unico","IT","GN","BeccoGiallo","",""
"172",NA,"Benefico, Gabriele","M","Disegni","IT","GN","BD, Edizioni NPE, Lavieri Edizioni","",""
"173",NA,"Benevento, Michele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"174",NA,"Benfatto, Elisabetta","F","Disegni","IT","GN","BeccoGiallo","",""
"175",NA,"Bennato, Tommaso","M","Disegni","FR","GN","…ditions Clair de Lune, …ditions Delcourt","",""
"176",NA,"Benni","M","Disegni","IT","GN","BeccoGiallo","",""
"177","Daw","Berardi, Davide","M","Autore Unico, Sceneggiatura","IT","P","Panini Comics, Sergio Bonelli Editore","",""
"178",NA,"Berardi, Giancarlo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"179",NA,"Berdondini, Lorenzo","M","Colori","IT","GN","Shockdom","",""
"180",NA,"Bergamo, Massimiliano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"181",NA,"Berghella, Leonardo","M","Disegni","IT","GN","Mangasenpai","",""
"182",NA,"Bermejo, Lee","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics","",""
"183",NA,"BertelË, Luca","M","Colori, Disegni","IT","P, GN","Sergio Bonelli Editore, TunuÈ","Scuola internazionale di Comics - Milano",""
"184",NA,"Berti, Alice","F","Autrice Unica","IT","GN","Bao Publishing, Edizioni Zanetti","",""
"185",NA,"Bertilorenzi, Michele","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Sergio Bonelli Editore","The Sign - Comics & Arts Academy (Firenze)",""
"186",NA,"Bertolini, Massimiliano ""Max""","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore","",""
"187","Percy","Bertolini, Vale","F","Disegni","IT","GN","Feltrinelli Editore","",""
"188",NA,"Bertolotti, Marta","F","Disegni","IT","GN","Mangasenpai","",""
"189",NA,"Bertolucci, Federico","M","Disegni","IT, FR","P, GN","Ankama …ditions, …ditions Delcourt, …ditions Dupuis, …ditions Glenat, …ditions Soleil, ReNoir Comics, The Walt Disney Company","SRF - Scuola Romana dei Fumetti",""
"190",NA,"Bertotti, Ugo","M","Autore Unico","IT","GN","Coconino Press","",""
"191",NA,"Bertozzi, Enrico","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"192",NA,"Bessoni, Stefano","M","Autore Unico","IT","GN","Logos Edizioni","",""
"193",NA,"Bevacqua, Salvatore","M","Disegni","FR","GN","Petit ‡ Petit","",""
"194",NA,"Bevilacqua, Giacomo","M","Autore Unico, Disegni","IT","P, GN","Bao Publishing, Sergio Bonelli Editore","",""
"195",NA,"Biagi, Lucia","F","Autrice Unica","IT","GN","Diabolo Edizioni, Eris Edizioni","",""
"196",NA,"Biagini, Francesco","M","Disegni","FR, USA","P, GN","BOOM! Studios, …ditions Soleil","",""
"197",NA,"Bianchi, Lorenzo","M","Sceneggiatura","IT","GN","Edizioni NPE, Kleiner Flug","",""
"198",NA,"Bianchi, Simone","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"199",NA,"Bianchi, Tommaso","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"200",NA,"Bianchini, Marco","M","Disegni","FR","GN","…ditions Glenat, …ditions Soleil","",""
"201",NA,"Bianconi, Valentina","F","Colori","IT","P","Sergio Bonelli Editore","",""
"202",NA,"Biasio, Iris","F","Autrice Unica","IT","GN","MalEdizioni","",""
"203","BlackBanshee","Biazzi, Marga","F","Autrice Unica","IT","GN","Shockdom","",""
"204",NA,"Bietolini, Eleonora","F","Disegni","FR","GN","…ditions Soleil","",""
"205",NA,"Bifulco, Antonio","M","Disegni","USA","P","Zenescope","",""
"206",NA,"Biglia, Stefano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"207",NA,"Bigliardo, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"208",NA,"Bignamini, Alessandro","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"209",NA,"Bilisari, Giulio","M","Disegni","IT","GN","Kleiner Flug","",""
"210",NA,"Bilotta, Alessandro","M","Sceneggiatura","IT","P, GN","Feltrinelli Editore, Sergio Bonelli Editore, Star Comics","Scuola internazionale di Comics - Roma",""
"211",NA,"Binni, Simona","F","Autrice Unica","IT","GN","TunuÈ","",""
"212",NA,"Biondi, Flavia","F","Autrice Unica, Disegni","IT, USA","P, GN","Bao Publishing, Dark Horse Comics","",""
"213",NA,"Bisaro, Francesco","M","Disegni","IT, FR","GN","Petit ‡ Petit, ReNoir Comics","",""
"214",NA,"Bisi, Paolo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"215",NA,"Bissattini, Emanuele","M","Sceneggiatura","IT","GN","Round Robin","",""
"216",NA,"Bizzarri, Vincenzo","M","Disegni","IT, FR","GN","…ditions Glenat, Hazard Edizioni, Kleiner Flug","Scuola internazionale di Comics - Firenze",""
"217",NA,"Blengino, Luca","M","Colorista, Sceneggiatura","IT, FR","P, GN","…ditions Delcourt, …ditions Soleil, Edizioni INKiostro, Star Comics","",""
