"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"495",NA,"Comandini, Marina","F","Colori, Disegni","IT","GN","Fandango Libri, Round Robin","",""
"496",NA,"Comino, Patrizia","F","Colori","USA","P","AfterShock Comics","",""
"497",NA,"Congedo, Giuseppe","M","Sceneggiatura","IT","P","Bugs Comics","",""
"498",NA,"Congiu, Laura","F","Disegni","IT","GN","TunuÈ","CIF - Centro internazionale del fumetto (Cagliari)",""
"499",NA,"Coniglione, Salvo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"500",NA,"Conte, Alberto","M","Sceneggiatura","FR","GN","…ditions Clair de Lune","",""
"501","Yuniiho","Conte, Fidalma","F","Autrice Unica","IT","GN","Mangasenpai, Shockdom","",""
"502","The Sparker","Conte, Stefano","M","Autore Unico","IT","GN","SaldaPress","",""
"503",NA,"Contu, Gabriella","F","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"504",NA,"Copello, Luigi","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"505",NA,"Coppola, Alessio","M","Disegni","IT, FR","P, GN","…ditions le Lombard, Les Humanoides Associes, The Walt Disney Company","",""
"506",NA,"Coppola, Gianluigi","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"507",NA,"Corbetta, Silvia","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"508",NA,"Corda, Luca","M","Disegni, Lettering","IT","P","Sergio Bonelli Editore","",""
"509",NA,"Cordaro, Ida","F","Autrice Unica","IT","GN","Canicola Edizioni","",""
"510",NA,"Cordone, Gabriella","F","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"511",NA,"Cornia, Christian","M","Disegni","IT","GN","TunuÈ","Scuola internazionale di Comics - Reggio Emilia",""
"512",NA,"Corona, Marco","M","Autore Unico","IT","GN","001 Edizioni, Canicola Edizioni, Coconino Press, Rizzoli Lizard","",""
"513",NA,"Corradi, Alberto","M","Autore Unico","IT","P, GN","Panini Comics, Repubblica XL, Smemoranda","Scuola del fumetto (Verona)",""
"514",NA,"Corrao, Stefano","M","Disegni","IT","GN","Edizioni NPE","",""
"515",NA,"Corsani, Cristiano ""Cryx""","M","Autore Unico","IT","GN","Sbam! Comics","",""
"516",NA,"Cortesi, Simone","M","Autore Unico, Disegni","IT","GN","BeccoGiallo","",""
"517",NA,"Corvi, Lele","M","Autore Unico","IT","GN","BeccoGiallo","",""
"518",NA,"Cosentino, Antonello","M","Disegni","IT","GN","Edizioni INKiostro","",""
"519",NA,"Cosentino, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"520",NA,"Cosentino, Fabrizio","M","Disegni","IT, FR","GN","…ditions Clair de Lune, Kamiti, Shockdom","",""
"521",NA,"Cosi, Francesca","F","Sceneggiatura","IT","GN","BeccoGiallo","",""
"522",NA,"Cossi, Paolo","M","Autore Unico","IT","GN","BeccoGiallo, Hazard Edizioni","",""
"523",NA,"Cossu, Ugolino","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"524",NA,"Costa, Davide","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"525",NA,"Costa, Stefania","F","Disegni","IT","GN","TunuÈ","CIF - Centro internazionale del fumetto (Cagliari)",""
"526",NA,"Costantini, Antonio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"527",NA,"Costantini, Gianluca","M","Autore Unico","IT","GN","Arnoldo Mondadori Editore, BeccoGiallo, Eris Edizioni, Mondadori","Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)",""
"528",NA,"Costantino, Celeste","M","Sceneggiatura","IT","GN","Round Robin","",""
"529",NA,"Costarelli, Luciano","M","Disegni","IT","P","Bugs Comics, Cronache di Topolinia, Edizioni INKiostro","",""
"530",NA,"Cozzi, Gianmauro","M","Colori","IT","P","Sergio Bonelli Editore","",""
"531",NA,"Cremona, Matteo","M","Disegni","IT","P","Panini Comics, Sergio Bonelli Editore","",""
"532",NA,"Crescenzi, Cristiano","M","Disegni","FR","GN","…ditions Glenat, Les Humanoides Associes","Scuola internazionale di Comics - Roma",""
"533",NA,"Crippa, Alessandro","M","Sceneggiatura","IT","P, GN","Bugs Comics, Edizioni INKiostro, ReNoir Comics, Sergio Bonelli Editore","Scuola del fumetto (Milano)",""
"534",NA,"Cripsta, Alessandro","M","Disegni","IT","GN","BeccoGiallo","",""
"535",NA,"Critone, Luigi","M","Disegni","FR","GN","Casterman, …ditions Delcourt, …ditions Soleil","",""
"536",NA,"Cropera, Michele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"537",NA,"Crosa, Riccardo","M","Disegni, Sceneggiatura","IT, FR","P, GN","Les Humanoides Associes, Sergio Bonelli Editore","",""
"538",NA,"Crotti, Mattia","M","Disegni","IT, FR","GN","…ditions Soleil, Petit ‡ Petit, ReNoir Comics","Scuola del fumetto (Verona)",""
"539",NA,"Cucca, Vincenzo","M","Disegni","FR, USA","P, GN","…ditions Glenat, …ditions le Lombard, Marvel Comics","Scuola internazionale di Comics - Pescara",""
"540",NA,"Cucchi, Andrea","M","Disegni","FR ","GN","Casterman, Petit ‡ Petit","",""
"541",NA,"Cucina, Cristiano","M","Chine, Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","SRF - Scuola Romana dei Fumetti",""
"542",NA,"Cuello, Daniel","M","Autore Unico","IT","GN","Bao Publishing","The Sign - Comics & Arts Academy (Firenze)",""
"543",NA,"Cuffari, Salvatore","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"544",NA,"Cuneo, Andrea","M","Disegni","IT","P, GN","Astorina, …ditions Soleil, Sergio Bonelli Editore","Scuola Chiavarese del Fumetto",""
"545",NA,"Curto, Ruben","M","Colori","USA","P","Aspen Comics, Zenescope","Scuola internazionale di Comics - Napoli",""
"546",NA,"D'Agata, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"547",NA,"D'Agnano, Roberto","M","Autore Unico, Disegni","IT","GN","BeccoGiallo, Feltrinelli Editore","",""
"548",NA,"D'Agostino, Adamo","M","Sceneggiatura","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Napoli",""
"549",NA,"D'Agostino, Salvo","M","Autore Unico","IT","GN","TunuÈ","Scuola superiore d'arte applicata (Milano)",""
"550",NA,"D'Amico, Marco Cosimo","M","Sceneggiatura","FR","GN","Dargaud","",""
"551",NA,"D'Angelo, Marco","M","Sceneggiatura","IT","GN","Edizioni NPE","Scuola internazionale di Comics - Roma",""
"552",NA,"D'Angelo, Simone","M","Autore Unico","IT","GN","Noise Press","",""
"553",NA,"D'Antona, Giulio","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"554",NA,"D'Antonio, Paolo","M","Autore Unico","IT","GN","BD","",""
"555",NA,"d'Armini, Simone","M","Disegni","FR, USA","P, GN","…ditions Glenat, IDW Publishing","",""
"556",NA,"D'Ascani, Federica","F","Sceneggiatura","IT","P","Editoriale Aurea","",""
"557",NA,"D'Auria, Fabio","M","Colori","IT, USA","P","Marvel Comics, Panini Comics, Sergio Bonelli Editore","",""
"558","Ratigher","D'Erminio, Francesco","M","Autore Unico","IT","GN","Coconino Press, Einaudi, SaldaPress","IED - Istituto Europeo di Disegni (Roma)",""
"559",NA,"D'Errico, Andrea","M","Colori","IT","P","Sergio Bonelli Editore","",""
"560",NA,"D'Ippolito, Francesco","M","Disegni, Sceneggiatura","IT, USA","P","IDW Publishing, The Walt Disney Company","Scuola internazionale di Comics - Genova",""
"561",NA,"D'Uva, Alessio","M","Lettering, Sceneggiatura","IT","GN","BD, Kleiner Flug","Scuola internazionale di Comics - Firenze",""
"562",NA,"Da Sacco, Michela","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"563",NA,"Dal Lago, Alberto","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"564",NA,"Dal Pr‡, Roberto","M","Sceneggiatura","IT, FR","P, GN","Aurea Editoriale, …ditions Delcourt, Editoriale Aurea","Scuola internazionale di Comics - Roma",""
"565",NA,"Dalena, Antonello","M","Disegni","IT, FR","P, GN","…ditions le Lombard, …ditions Soleil, The Walt Disney Company","",""
"566",NA,"Dalisi, Luca","M","Autore Unico","IT","GN","Lavieri Edizioni","",""
"567",NA,"Dall'Agnol, Piero","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"568",NA,"Dall'Oglio, Massimo","M","Disegni","IT","P","Sergio Bonelli Editore","Fum√© Scuola di fumetto",""
"569","Makkox","Dambrosio, Marco","M","Autore Unico","IT","GN","Bao Publishing, Rizzoli Lizard","",""
"570","Dany&Dany","Daniela Orr˘","F","Autrice Unica","IT","GN","BD, Passenger Press","Fum√© Scuola di fumetto",""
"571","Dany&Dany","Daniela Serri","F","Autrice Unica","IT","GN","BD, Passenger Press","Fum√© Scuola di fumetto",""
"572",NA,"Daniels, Deda","F","Autrice Unica, Disegni","IT","P, GN","BD, Shockdom, The Walt Disney Company","",""
"573",NA,"Dante, Alex","M","Colori","IT","P","Sergio Bonelli Editore","",""
"574",NA,"Danubio, Giacomo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"575",NA,"Daveti, Samuel","M","Sceneggiatura","IT, FR","GN","…ditions Soleil, Sarbacane, Shockdom","",""
"576",NA,"de' Grimani, Elena","F","Autrice Unica","IT","GN","Panini Comics, Star Comics","",""
"577",NA,"De Angeli, Matteo","M","Lettering","IT","P, GN","Arnoldo Mondadori Editore, BeccoGiallo, Mondadori, Panini Comics","",""
"578",NA,"De Angelis, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"579",NA,"De Bernardis, Alessandra","F","Disegni","FR","GN","Kamiti","",""
"580",NA,"De Bianchi, Cecilia","F","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"581",NA,"De Biase, Mariano","M","Colori, Disegni","IT","P","Sergio Bonelli Editore","",""
"582",NA,"De Carli, Manuel","M","Disegni","IT","GN","BeccoGiallo","",""
"583",NA,"De Cubellis, Davide","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"584",NA,"De Cunto, Marta","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"585",NA,"De Dominicis, Andrea","M","Colori","IT","P","Sergio Bonelli Editore","",""
"586",NA,"De Fabritiis, Fabrizio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"587",NA,"De Falchi, Edoardo","M","Disegni","IT","GN","Shockdom","",""
"588",NA,"De Felici, Lorenzo","M","Disegni","IT, FR, USA","P ","Ankama …ditions, Image Comics, SaldaPress, Sergio Bonelli Editore","",""
"589",NA,"De Francisco, Gian Marco","M","Disegni","IT","GN","BeccoGiallo, Cut Up Publishing","Grafite - Scuola di grafica e fumetto (Taranto)",""
"590",NA,"De Franco, Andrea","M","Autore Unico","IT","GN","Feltrinelli Editore","",""
"591",NA,"De Giovanni, Massimiliano","M","Sceneggiatura","IT","GN","Feltrinelli Editore","Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)",""
"592",NA,"De Giuseppe, Lucio","M","Disegni","IT","P","The Walt Disney Company","",""
"593",NA,"De Iulis, Mattia","M","Colori","IT, USA","P","Marvel Comics, Panini Comics, Sergio Bonelli Editore","",""
"594",NA,"De Lellis, Stefano","M","Disegni","IT","P","The Walt Disney Company","",""
"595",NA,"De Lorenzi, Paolo","M","Disegni","IT","P","The Walt Disney Company","",""
"596",NA,"De Luca, Antonio","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore","",""
"597",NA,"De Luca, Giuseppe","M","Disegni","IT, FR","P, GN","Sergio Bonelli Editore, Zephyr Editions","",""
"598",NA,"De Luca, Mauro","M","Disegni","FR","GN","…ditions le Lombard, …ditions Soleil, Les Humanoides Associes","SRF - Scuola Romana dei Fumetti",""
"599",NA,"De Marco, Loris","M","Disegni","IT","GN","TunuÈ","",""
"600",NA,"De Martino, Fran","F","Autrice Unica","IT","GN","BD","",""
"601",NA,"De Martino, Marcello","M","Disegni","IT, FR","P, GN","Casterman, The Walt Disney Company","Scuola italiana di Comix (Napoli)",""
"602",NA,"de Mojana, NiccolÚ","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"603",NA,"De Napoli, Ylenia","F","Colori","IT","P","Sergio Bonelli Editore","",""
"604",NA,"De Nardo, Giuseppe","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"605",NA,"De Pieri, Erika","F","Autrice Unica, Disegni","IT","GN","BeccoGiallo","",""
"606",NA,"De Plano, Chiara","F","Autrice Unica","IT","GN","Shockdom","",""
"607",NA,"De Pretto, Lorenzo","M","Autore Unico, Disegni, Sceneggiatura","IT, FR","P, GN","Edizioni Piemme, Egmont, Piemme, The Walt Disney Company","",""
"608",NA,"De Rosa, Josie","F","Colori","IT","P","Sergio Bonelli Editore","",""
"609",NA,"De Santa, Alessio","M","Sceneggiatura","IT","GN","TunuÈ","",""
"610","Nova","De Santis, Alessandra","F","Autrice Unica","IT","GN","Bao Publishing","",""
"611",NA,"De Sio, Alessia","F","Colori","IT","GN","Ex Libris","",""
"612",NA,"De Stefano, Michele","M","Autore Unico","IT","GN","Feltrinelli Editore","",""
"613",NA,"De Stena, Francesco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"614",NA,"De Tommaso, Fabrizio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"615",NA,"De Vincentiis, Adriano","M","Disegni","IT, FR","GN","BD, …ditions Soleil, Edizioni INKiostro","",""
"616",NA,"De Vincenzi, Alessia","F","Disegni","FR","GN","…ditions Delcourt, Petit ‡ Petit","",""
"617",NA,"De Vita, Giulio","M","Disegni","IT, FR","P, GN","…ditions le Lombard, The Walt Disney Company","",""
"618",NA,"De Vita, Massimo","M","Disegni","IT","P","The Walt Disney Company","",""
"619",NA,"Dea Nanni, Eleonora","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"620",NA,"Deflorian, Anna","F","Autrice Unica","IT","GN","Canicola Edizioni","",""
"621",NA,"Deiana, Salvatore","M","Disegni","IT","P","The Walt Disney Company","",""
"622",NA,"Del Campo, Andrea","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"623",NA,"Del Conte, Alessandro","M","Disegni","IT","P","The Walt Disney Company","",""
"624",NA,"Del Pennino, Mario","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"625",NA,"Del Prete, Paola","F","Autrice Unica","IT","GN","Lavieri Edizioni","Scuola italiana di Comix (Napoli)",""
"626",NA,"Del Proposto, Federica","F","Autrice Unica","IT, FR","GN","Coconino Press, …ditions Gallimard, First Editions","",""
"627",NA,"Del Vecchio, Pasquale","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Milano",""
"628","R√©n","Delicato, Francesca","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"629",NA,"Dell'Edera, Werther","M","Disegni","IT","P, GN","Feltrinelli Editore, Sergio Bonelli Editore","",""
"630",NA,"Dell'Olio, Giuseppe","M","Disegni","IT","GN","Kleiner Flug","",""
"631",NA,"Dell'Omodarme, Francesca","F","Autrice Unica","IT","GN","Bao Publishing","",""
"632","Jioke","Dell'Oro, Giovanni","M","Autore Unico","IT","GN","BD","",""
"633",NA,"Dell'Otto, Gabriele","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"634",NA,"Dell'Uomo, Luca","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"635",NA,"Della Ciana, Giulia","F","Autrice Unica","IT","GN","Mangasenpai","",""
"636",NA,"Della Monica, Raffaele","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"637",NA,"Delladio, Simone","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"638",NA,"Delvecchio, Beniamino","M","Chine, Disegni","IT","P","Astorina, ReNoir Comics, Sergio Bonelli Editore","",""
"639","Sayuki Nanaji","Dema, Pamela","F","Disegni","IT","GN","Mangasenpai","",""
"640",NA,"Demonte, Matteo","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"641",NA,"Deninotti, Danilo","M","Sceneggiatura","IT","P, GN","BD, Feltrinelli Editore, The Walt Disney Company","",""
"642",NA,"Denti, Romina","F","Colori","IT","P","Sergio Bonelli Editore","",""
"643",NA,"Deplano, Paolo","M","Disegni","FR","GN","…ditions Delcourt, …ditions Soleil","",""
"644",NA,"Des Dorides, Fabrizio","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore","",""
"645",NA,"Desiato, Paco","M","Disegni","IT","P","Round Robin, The Walt Disney Company","Scuola italiana di Comix (Napoli)",""
"646",NA,"Detti, Francesca","F","Sceneggiatura","IT","GN","Kleiner Flug","Scuola internazionale di Comics - Firenze",""
"647",NA,"Detullio, Fabio","M","Disegni","IT, FR","P, GN","…ditions Soleil, Sergio Bonelli Editore","",""
"648",NA,"Devescovi, Franco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"649",NA,"Di Bernardo, Giuseppe","M","Disegni","IT","P","Astorina","The Sign - Comics & Arts Academy (Firenze)",""
"650","The Hand","Di Bona, Maurizio","M","Autore Unico","IT","GN","BeccoGiallo","",""
"651",NA,"Di Caro, Gabriele","M","Disegni","IT","GN","Kleiner Flug","",""
"652",NA,"Di Chiara, Viviana","F","Colori","IT","GN","Noise Press","",""
"653",NA,"Di Clemente, Cristian","M","Autore Unico, Disegni","IT","P, GN","Bugs Comics, Edizioni INKiostro, TunuÈ","",""
"654",NA,"Di Clemente, Paolo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"655",NA,"Di Felice, Cinzia","F","Disegni","FR","GN","…ditions Clair de Lune, Sandawe","",""
"656",NA,"Di Francia, Chiara","F","Colori","IT","GN","Edizioni INKiostro","",""
"657",NA,"Di Giandomenico, Carmine","M","Disegni","IT, USA","P, GN","DC Comics, Feltrinelli Editore, Marvel Comics, Panini Comics, SaldaPress, Star Comics","",""
"658",NA,"Di Giorgio, Mariachiara","F","Autrice Unica","IT","GN","Coconino Press","",""
"659",NA,"Di Giovanni, Alessia","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"660",NA,"Di Grazia, Marco","M","Sceneggiatura","IT","GN","Shockdom","",""
"661",NA,"Di Gregorio, Giovanni","M","Sceneggiatura","IT","P, GN","Bao Publishing, Sergio Bonelli Editore, The Walt Disney Company","",""
"662",NA,"Di Leo, Isabella","F","Autrice Unica","IT","GN","BeccoGiallo","",""
"663",NA,"Di Lorenzo, Veronica","F","Disegni","IT","P","The Walt Disney Company","",""
"664",NA,"Di Marco, Salvo","M","Disegni","IT","P","The Walt Disney Company","",""
"665",NA,"Di Masi, Diego","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"666","Dimat","Di Matteo, Daniela","F","Disegni","FR, USA","P, GN","…ditions Soleil, Zenescope","",""
"667",NA,"Di Matteo, Francesca","F","Disegni","IT","GN","Kleiner Flug","",""
"668",NA,"Di Meo, Federica","F","Disegni","IT","P","Panini Comics","Scuola di fumetto (Associazione scuola di fumetto - varie sedi)",""
"669",NA,"Di Meo, Simone","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","Scuola internazionale di Comics - Torino",""
"670",NA,"Di Nicola, Fabrizio ""Pluc""","M","Disegni","IT","GN","Edizioni NPE, Shockdom","",""
"671",NA,"Di Nicuolo, Daniele","M","Disegni","IT, FR","P, GN","…ditions Glenat, Sergio Bonelli Editore","",""
"672",NA,"Di Noia, Mirko","M","Autore Unico, Disegni","IT","GN","Cronache di Topolinia, Murano Publishing","",""
"673",NA,"Di Orazio, Paolo","M","Sceneggiatura","IT","P","Edizioni INKiostro, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli",""
"674",NA,"Di Padova, Elia","M","Disegni","IT","GN","Shockdom","Pencil ART (Bari)",""
"675",NA,"Di Pietro, Eleonora","F","Sceneggiatura","FR","GN","Eris Edizioni","",""
"676",NA,"di Qual, Giovanni ""Gio""","M","Disegni","IT","GN","BeccoGiallo","",""
"677",NA,"Di Salvo, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"678",NA,"Di Sepio, Lorenza","F","Autrice Unica","IT","GN","Magic Press Edizioni, TunuÈ","",""
"679","Spugna","Di Spigna, Tommaso","M","Autore Unico","IT","GN","Coconino Press, Hollow Press","",""
"680",NA,"Di Stefano, Mauro","M","Sceneggiatura","IT","GN","Leviathan Labs","",""
"681",NA,"Di Vincenzo, Maurizio","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"682",NA,"Di Virgilio, Alessandro","M","Sceneggiatura","IT","GN","BeccoGiallo, Edizioni INKiostro, Noise Press, TunuÈ","",""
"683",NA,"Di Virgilio, Elisa","F","Disegni","IT","P","Star Comics","",""
"684",NA,"Di Vita, Giorgio","M","Disegni","IT","P","The Walt Disney Company","Pencil ART (Bari)",""
"685",NA,"Di Vito, Andrea","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"686",NA,"Di Vitto, Domenico","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"687",NA,"Di Vitto, Stefano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"688",NA,"Di Vivona, Chiara","F","Disegni","IT","GN","Shockdom","",""
"689",NA,"Diana, Gianluca","M","Sceneggiatura","IT","GN","Barta Edizioni","",""
"690","Inimeitiel","Dicataldo, Carlotta","F","Disegni","IT, FR","GN","…ditions Dupuis, TunuÈ","",""
"691",NA,"Dimaggio, Giancarlo","M","Sceneggiatura","FR","GN","BDMusic, …ditions Clair de Lune","",""
"692",NA,"Dimitri, Francesco","M","Sceneggiatura","FR","GN","…ditions Delcourt","",""
"693",NA,"Dinisio, Carmine Moreno","M","Colori","IT, USA","P","Sergio Bonelli Editore, Urban Comics","",""
"694",NA,"Disegni, Stefano","M","Autore Unico","IT","GN","Rizzoli Lizard","",""
"695",NA,"Diso, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"696",NA,"Dispensa, Flavio","M","Colori","USA","P","DC Comics, IDW Publishing, Image Comics","",""
"697",NA,"Domestici, Andrea","M","Autore Unico, Disegni","IT","P","San Paolo Periodici","",""
"698",NA,"Dominici, Marco","M","Disegni","FR","GN","…ditions Soleil, Kennes, Les Humanoides Associes","",""
"699",NA,"Donati, Roberto","M","Sceneggiatura","IT","GN","EF, Weird Book","",""
"700",NA,"Dori, Fabrizio","M","Autore Unico","IT, FR","GN","Oblomov Edizioni, Sarbacane, TunuÈ","",""
"701",NA,"Dossena, Francesco","M","Disegni","IT","P","Bugs Comics, Sergio Bonelli Editore","",""
"702",NA,"Dotta, Andrea","M","Disegni","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Genova",""
"703",NA,"Dotti, Maurizio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"704",NA,"Dottori, Alessandra","F","Colori","IT","P","Sergio Bonelli Editore","",""
"705",NA,"Dubini, Miriam","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"706",NA,"Dzierzawska, Zosia","F","Autrice Unica","IT","GN","Topipittori","",""
"707",NA,"Ebon, Chiaretta","F","Disegni, Sceneggiatura","IT","GN","Shockdom","",""
"708",NA,"Eccher, Giovanni","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"709",NA,"Ecuba, Ennio","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"710",NA,"Elia, Alfonso","M","Disegni","IT","GN","Cut Up Publishing","",""
"711",NA,"Elisei, Pietro","M","Autore Unico","IT","GN","Edizioni NPE","",""
"712",NA,"Enna, Bruno","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"713",NA,"Enna, Stefano","M","Sceneggiatura","IT, FR","P, GN","…ditions Glenat, The Walt Disney Company","",""
"714",NA,"Enoch, Luca","M","Disegni, Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"715",NA,"Erbetta, Luca","M","Disegni, Sceneggiatura","FR","GN","…ditions Delcourt, …ditions Dupuis, …ditions Glenat","",""
"716",NA,"Ercolani, Emanuele","M","Autore Unico, Chine, Colori, Disegni, Lettering","IT, USA","P","Edizioni BD, Heavy Metal Magazine, IDW Publishing, J-Pop, Noise Press, The Walt Disney Company","",""
"717",NA,"Ermetti, Libero","M","Disegni","IT","P","The Walt Disney Company","",""
"718",NA,"Esposito, Denisio (Esposito Bros.)","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"719","Quasirosso","Esposito, Giovanni","M","Autore Unico","IT","GN","BeccoGiallo, Round Robin, Shockdom","La scuola del fumetto (Cosenza)",""
"720",NA,"Esposito, Nando (Esposito Bros.)","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"721",NA,"Evangelisti, Patrizio","M","Colori, Disegni","FR","GN","…ditions Delcourt","",""
"722",NA,"Fabbri, Daniele","M","Autore Unico","IT","GN","Feltrinelli Editore, Shockdom","",""
"723",NA,"Fabbri, Davide","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics, Sergio Bonelli Editore, Star Comics","",""
"724",NA,"Fabbri, Sara","F","Disegni","IT","GN","Add Editore","",""
"725",NA,"Fabiani, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"726",NA,"Fabiano, Gilda","F","Sceneggiatura","IT","P","Bugs Comics","",""
"727",NA,"Fabris, Silvia","F","Disegni","FR","GN","…ditions Soleil, Les Humanoides Associes","",""
"728",NA,"Fabrizio, Simona","F","Disegni","FR","GN","…ditions Jungle","",""
"729",NA,"Faccini, Riccardo","M","Disegni","IT","GN","Shockdom","",""
"730",NA,"Facciolo, Enzo","M","Disegni","IT","P","Astorina","",""
"731",NA,"Facciotto, Giuseppe","M","Disegni","IT","P","The Walt Disney Company","Scuola del fumetto (Verona)",""
"732",NA,"Failla, Marco","M","Disegni","IT, USA","P","DC Comics, Image Comics, Marvel Comics, Panini Comics","",""
"733",NA,"Faina, Fabrizio","M","Disegni","FR","GN","…ditions Soleil","Scuola di fumetto (Associazione scuola di fumetto - varie sedi)",""
"734",NA,"Faini, Edvige","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"735",NA,"Falchetti, Mauro","M","Sceneggiatura","IT","P","Bugs Comics, Prankster Comics","",""
"736",NA,"Falco, Claudio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)",""
"737",NA,"Falco, Giuseppe","M","Autore Unico","FR","GN","…ditions Clair de Lune","",""
"738",NA,"Falzone, Gabriele","M","Disegni","IT","GN","Shockdom","",""
"739",NA,"Fanelli, Ciro","M","Autore Unico","IT","GN","Rizzoli Lizard","",""
"740",NA,"Fantelli, Stefano","M","Sceneggiatura","IT","GN","Edizioni INKiostro","",""
"741",NA,"Fantini, Catia","F","Disegni","USA","P","Advent Comics","Scuola internazionale di Comics - Reggio Emilia",""
"742",NA,"Fara, Antonio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"743",NA,"Faraci, Tito","M","Sceneggiatura","IT","P, GN","Astorina, BD, Feltrinelli Editore, Rizzoli Lizard, Sergio Bonelli Editore, The Walt Disney Company","Scuola Holden",""
"744",NA,"Farina, Adriana","F","Disegni","IT","P","Bugs Comics","",""
"745",NA,"Farinella, Matteo","M","Autore Unico","IT, UK","GN","Nobrow Press, Rizzoli Lizard","",""
"746",NA,"Farricella, Arianna","F","Disegni","USA","P","Edgar Rice Burroughs","",""
"747",NA,"Fassio, Antonio","M","Colori","IT","GN","BeccoGiallo, Shockdom","",""
"748",NA,"Fattore, Alessia","F","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Pescara",""
"749",NA,"Fattori, Andrea","M","Disegni","IT, FR","P, GN","…ditions Soleil, Sergio Bonelli Editore","",""
